"year","Region","latitude","longitude","Elevation","VEI"
1914,"Kyushu-Japan_Sakura-jima",31.58,130.67,1117,4
1914,"New Britain-SW Pac_Pago",-5.58,150.52,742,3
1914,"New Zealand_White Island",-37.52,177.18,321,NA
1914,"Vanuatu-SW Pacific_Aoba",-15.4,167.83,1496,NA
1916,"Ecuador_Tungurahua",-1.467,-78.442,5023,4
1916,"Italy_Stromboli",38.789,15.213,926,3
1917,"_Lengai",NA,NA,NA,NA
1917,"New Zealand_Okataina",-38.12,176.5,1111,1
1917,"Chile-S_Calbuco",-41.326,-72.614,2003,3
1917,"El Salvador_San Salvador",13.736,-89.286,1893,3
1918,"Sangihe Is-Indonesia_Banua Wuhu",3.138,125.491,-5,3
1918,"Iceland-S_Katla",63.63,-19.05,1512,4
1919,"Mexico_Popocatepetl",19.023,-98.622,5426,1
1919,"Sangihe Is-Indonesia_Banua Wuhu",3.138,125.491,-5,NA
1919,"Java_Kelut",-7.93,112.308,1731,4
1919,"Italy_Stromboli",38.789,15.213,926,3
1919,"Honshu-Japan_Nasu",37.12,139.97,1917,NA
1919,"Hawaiian Is_Mauna Loa",19.475,-155.608,4170,0
1920,"Java_Merapi",-7.542,110.442,2947,3
1920,"El Salvador_Izalco",13.813,-89.633,1950,3
1921,"Honshu-Japan_Nasu",37.12,139.97,1917,NA
1923,"Java_Papandayan",-7.32,107.73,2665,1
1923,"Java_Tangkubanparahu",-6.77,107.6,2084,NA
1923,"Kyushu-Japan_Kirishima",31.93,130.87,1700,2
1924,"Hawaiian Is_Kilauea",19.425,-155.292,1222,2
1926,"Hokkaido-Japan_Tokachi",43.42,142.68,2077,3
1927,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,NA
1927,"Iceland-SE_Esjufjoll",64.27,-16.65,1760,1
1928,"Greece_Santorini",36.404,25.396,329,2
1928,"Luzon-Philippines_Mayon",13.257,123.685,2462,3
1928,"Indonesia_Krakatau",-6.102,105.423,813,NA
1928,"Java_Dieng Volc Complex",-7.2,109.92,2565,2
1928,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,3
1928,"Italy_Etna",37.734,15.004,3350,1
1929,"Chile-S_Calbuco",-41.326,-72.614,2003,3
1929,"Hokkaido-Japan_Komaga-take",42.07,140.68,1140,4
1929,"Italy_Etna",37.734,15.004,3350,2
1929,"Guatemala_Santa Maria",14.756,-91.552,3772,3
1930,"Indonesia_Krakatau",-6.102,105.423,813,2
1930,"Honshu-Japan_Asama",36.4,138.53,2560,3
1930,"Italy_Stromboli",38.789,15.213,926,3
1930,"Java_Merapi",-7.542,110.442,2947,3
1931,"Honshu-Japan_Asama",36.4,138.53,2560,3
1932,"Guatemala_Fuego",14.473,-90.88,3763,4
1932,"Java_Merapi",-7.542,110.442,2947,NA
1932,"Honshu-Japan_Kusatsu-Shirane",36.62,138.55,2176,3
1933,"Kuril Is_Kharimkotan",49.12,154.508,1145,3
1933,"Honshu-Japan_Hakone",35.22,139.02,1438,NA
1933,"Ryukyu Is_Kuchinoerabu-jima",30.43,130.22,649,4
1933,"Luzon-Philippines_Bulusan",12.77,124.05,1565,2
1934,"US-Oregon_Hood",45.374,-121.694,3426,NA
1936,"Honshu-Japan_Asama",36.4,138.53,2560,3
1937,"Chile-C_Llaima",-38.692,-71.729,3125,2
1937,"New Britain-SW Pac_Rabaul",-4.271,152.203,688,4
1938,"Africa-C_Nyamuragira",NA,NA,NA,NA
1938,"Honshu-Japan_Bandai",37.6,140.08,1819,NA
1938,"Luzon-Philippines_Mayon",13.257,123.685,2462,2
1938,"Honshu-Japan_Asama",36.4,138.53,2560,1
1939,"Izu Is-Japan_Tori-shima",30.48,140.32,403,2
1939,"Java_Dieng Volc Complex",-7.2,109.92,2565,1
1940,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,2
