Year,Name,Location,Latitude,Longitude,Elevation,VEI
1966,Tinakula,Santa Cruz Is-SW Pac,-10.38,165.8,851,3
1966,Kelut,Java,-7.93,112.308,1731,4
1966,Awu,Sangihe Is-Indonesia,3.67,125.5,1320,4
1966,Lengai,,,,,
1967,Lengai,,,,,
1967,Semeru,Java,-8.108,112.92,3676,3
1967,Deception Island,Antarctica,-62.97,-60.65,576,3
1968,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1968,Arenal,Costa Rica,10.463,-84.703,1657,3
1969,Merapi,Java,-7.542,110.442,2947,2
1969,Iya,Lesser Sunda Is,-8.88,121.63,637,3
1969,Didicas,Luzon-N of,19.077,122.202,244,2
1969,Narugo,Honshu-Japan,38.73,140.73,462,
1970,Campi Flegrei,Italy,40.827,14.139,458,
1970,Hekla,Iceland-S,63.98,-19.7,1491,3
1971,Hudson,,,,,
1971,Tinakula,Santa Cruz Is-SW Pac,-10.38,165.8,851,2
1971,Fuego,Guatemala,14.473,-90.88,3763,3
1971,La Palma,Canary Is,28.58,-17.83,2426,2
1971,Villarrica,Chile-C,-39.42,-71.93,2847,2
1971,Kusatsu-Shirane,Honshu-Japan,36.62,138.55,2176,
1972,Fournaise,,,,,
1972,Hakone,Honshu-Japan,35.22,139.02,1438,
1972,Ritter Island,New Guinea-NE of,-5.52,148.121,140,1
1973,Vestmannaeyjar,Iceland-S,63.43,-20.28,279,3
1973,Paluweh,Lesser Sunda Is,-8.32,121.708,875,3
1973,Hudson,,,,,
1973,Iliwerung,Lesser Sunda Is,-8.54,123.59,1018,2
1974,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,3
1974,Sakura-jima,Kyushu-Japan,31.58,130.67,1117,3
1974,Niigata-Yake-yama,Honshu-Japan,36.92,138.03,2400,2
1974,Sakura-jima,Kyushu-Japan,31.58,130.67,1117,3
1974,Fuego,Guatemala,14.473,-90.88,3763,4
1974,Ritter Island,New Guinea-NE of,-5.52,148.121,140,1
1974,Merapi,Java,-7.542,110.442,2947,2
1975,Marapi,Sumatra,-0.381,100.473,2891,2
1975,Arenal,Costa Rica,10.463,-84.703,1657,3
1975,Kilauea,Hawaiian Is,19.425,-155.292,1222,0
1976,Kusatsu-Shirane,Honshu-Japan,36.62,138.55,2176,
1976,Sangay,Ecuador,-2.03,-78.33,5230,3
1976,Semeru,Java,-8.108,112.92,3676,2
1976,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,2
1976,Merapi,Java,-7.542,110.442,2947,2
1977,Nyiragongo,Africa-C,,,,
1977,Karthala,Indian O-W,-11.75,43.38,2361,0
1977,Krafla,Iceland-NE,65.73,-16.78,650,1
1977,Kliuchevskoi,Kamchatka,56.057,160.638,4835,3
1977,Usu,Hokkaido-Japan,42.53,140.83,731,3
1978,Usu,Hokkaido-Japan,42.53,140.83,731,3
1978,Bulusan,Luzon-Philippines,12.77,124.05,1565,2
1978,Santa Maria,Guatemala,14.756,-91.552,3772,3
1978,Semeru,Java,-8.108,112.92,3676,3
1978,Tangkubanparahu,Java,-6.77,107.6,2084,
1979,Dieng Volc Complex,Java,-7.2,109.92,2565,1
1979,Karkar,New Guinea-NE of,-4.649,145.964,1839,2
1979,Soufriere St. Vincent,W Indies,13.33,-61.18,1220,3
1979,Etna,Italy,37.734,15.004,3350,2
1979,Aso,Kyushu-Japan,32.88,131.1,1592,2
1979,Iliwerung,Lesser Sunda Is,-8.54,123.59,1018,0
1980,St. Helens,US-Washington,46.2,-122.18,2549,5
1980,Hekla,Iceland-S,63.98,-19.7,1491,3
1980,Hood,US-Oregon,45.374,-121.694,3426,
1981,Etna,Italy,37.734,15.004,3350,2
1981,Semeru,Java,-8.108,112.92,3676,3
1981,Alaid,Kuril Is,50.858,155.55,2339,2
1981,Semeru,Java,-8.108,112.92,3676,3
1981,Mayon,Luzon-Philippines,13.257,123.685,2462,
1981,Paluweh,Lesser Sunda Is,-8.32,121.708,875,2
1981,Vilyuchik,Kamchatka,52.68,158.3,2173,
1982,Chichon,,,,,
1982,Chichon,,,,,
1982,Galunggung,Java,-7.25,108.05,2168,4
1982,Chichon,,,,,
1983,Kliuchevskoi,Kamchatka,56.057,160.638,4835,2
1983,Colo [Una Una],Sulawesi-Indonesia,-0.17,121.608,507,4
1983,Iliwerung,Lesser Sunda Is,-8.54,123.59,1018,1
1983,Miyake-jima,Izu Is-Japan,34.08,139.53,815,3
1984,Oku Volc Field,Africa-W,6.25,10.5,3011,
1984,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1984,On-take,Honshu-Japan,35.9,137.48,3063,
1984,Etna,Italy,37.734,15.004,3350,3
1985,Semeru,Java,-8.108,112.92,3676,3
1985,Ruiz,Colombia,4.895,-75.322,5321,3
1985,Etna,Italy,37.734,15.004,3350,1
1986,Akita-Yake-yama,Honshu-Japan,39.97,140.77,1366,
1986,Stromboli,Italy,38.789,15.213,926,2
1986,Oku Volc Field,Africa-W,6.25,10.5,3011,3
1986,Merapi,Java,-7.542,110.442,2947,2
1986,Oshima,Izu Is-Japan,34.73,139.38,758,3
1987,Pacaya,Guatemala,14.381,-90.601,2552,3
1987,Etna,Italy,37.734,15.004,3350,2
1987,Sirung,Lesser Sunda Is,-8.51,124.148,862,
1988,Banda Api,Banda Sea,-4.525,129.871,640,3
1988,Arenal,Costa Rica,10.463,-84.703,1657,3
1988,Semeru,Java,-8.108,112.92,3676,3
1988,Lonquimay,Chile-C,-38.377,-71.58,2865,3
1988,Akita-Yake-yama,Honshu-Japan,39.97,140.77,1366,
1989,Aso,Kyushu-Japan,32.88,131.1,1592,
1989,Kirishima,Kyushu-Japan,31.93,130.87,1700,
1990,Shiveluch,Kamchatka,56.653,161.36,3283,3
1990,Kelut,Java,-7.93,112.308,1731,4
1990,Aso,Kyushu-Japan,32.88,131.1,1592,2
1990,Aso,Kyushu-Japan,32.88,131.1,1592,2
1990,Sabancaya,Peru,-15.78,-71.85,5967,3
1990,Rabaul,New Britain-SW Pac,-4.271,152.203,688,
1990,Santa Maria,Guatemala,14.756,-91.552,3772,3
1990,Aso,Kyushu-Japan,32.88,131.1,1592,2
1990,Nyiragongo,Africa-C,,,,
1990,Kelut,Java,-7.93,112.308,1731,
1991,Unzen,Kyushu-Japan,32.75,130.3,1500,1
1991,Pinatubo,Luzon-Philippines,15.13,120.35,1486,6
1991,Mutnovsky,Kamchatka,52.453,158.195,2322,
1991,Karthala,Indian O-W,-11.75,43.38,2361,2
1991,Hudson,,,,,
1991,Lokon-Empung,Sulawesi-Indonesia,1.358,124.792,1580,1
1991,Etna,Italy,37.734,15.004,3350,2
1992,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,2
1992,Dieng Volc Complex,Java,-7.2,109.92,2565,
1992,Negro,,,,,
1992,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,1
1992,Marapi,Sumatra,-0.381,100.473,2891,2
